nazwa,jednostka,wartosc,niepewnosc
cz_d,cm,28.400,0.058
cz_s,cm,4.900,0.058
cz_1,cm,13.500,0.058
cz_3,cm,11.500,0.058
cz_5,cm,9.500,0.058
cz_7,cm,7.500,0.058
cz_9,cm,5.400,0.058
b_d,cm,32.980,0.076
b_s,cm,3.820,0.076
b_1,cm,16.000,0.058
b_3,cm,13.000,0.058
b_5,cm,10.000,0.058
b_7,cm,7.000,0.058
b_9,cm,4.000,0.058
Tcz1,s,0.8684,0.0067
Tcz1x10,s,8.684,0.067
Tcz3,s,0.8343,0.0029
Tcz3x10,s,8.343,0.029
Tcz5,s,0.8199,0.0032
Tcz5x10,s,8.199,0.032
Tcz7,s,0.8140,0.0012
Tcz7x10,s,8.140,0.012
Tcz9,s,0.8508,0.0041
Tcz9x10,s,8.508,0.041
Tb1,s,0.9295,0.0025
Tb1x10,s,9.295,0.025
Tb3,s,0.8839,0.0024
Tb3x10,s,8.839,0.024
Tb5,s,0.8674,0.0037
Tb5x10,s,8.674,0.037
Tb7,s,0.8817,0.0030
Tb7x10,s,8.817,0.030
Tb9,s,1.0291,0.0045
Tb9x10,s,10.291,0.045
cz_d,m,0.28400,0.00058
cz_s,m,0.04900,0.00058
cz_1,m,0.13500,0.00058
cz_3,m,0.11500,0.00058
cz_5,m,0.09500,0.00058
cz_7,m,0.07500,0.00058
cz_9,m,0.05400,0.00058
b_d,m,0.32980,0.00076
b_s,m,0.03820,0.00076
b_1,m,0.16000,0.00058
b_3,m,0.13000,0.00058
b_5,m,0.10000,0.00058
b_7,m,0.07000,0.00058
b_9,m,0.04000,0.00058
g_cz1,,9.75,0.15
g_b1,,9.934,0.057
g_cz3,,9.936,0.072
g_b3,,10.139,0.059
g_cz5,,9.858,0.080
g_b5,,10.067,0.090
g_cz7,,9.967,0.037
g_b7,,10.219,0.081
g_cz9,,9.94,0.11
g_b9,,10.05,0.14
srednie_g,,9.986,0.030
