nazwa,jednostka,wartosc,niepewnosc
r,mm,0.275,0.005773502691896258
l,cm,81.94,0.11487923490924473
m_1,g,570.3333333333334,1.3057085205897756
m_2,g,566.0,0.5773502691896257
m_3,g,929.3333333333334,1.3057085205897756
m_4,g,571.0,0.5773502691896257
m_5,g,570.0,0.5773502691896257
m_6,g,573.3333333333334,1.3057085205897756
m_7,g,572.0,0.5773502691896257
m_8,g,569.0,0.5773502691896257
m_9,g,571.0,0.5773502691896257
m_10,g,554.3333333333334,1.3057085205897756
m_11,g,570.0,0.5773502691896257
m_12,g,571.3333333333334,2.4123637708610537
f_1_1,Hz,67.65,3.1445745666147613
f_1_2,Hz,137.1,0.8984498761757617
f_1_3,Hz,204.5,4.492249380878173
f_1_4,Hz,271.5,4.492249380878173
f_2_1,Hz,76.0,8.984498761756289
f_2_2,Hz,150.5,4.492249380878173
f_2_3,Hz,221.5,4.492249380878173
f_2_4,Hz,298.0,8.984498761756289
f_3_1,Hz,81.0,5.773502691896258e-07
f_3_2,Hz,162.5,4.492249380878173
f_3_3,Hz,243.0,8.984498761756289
f_3_4,Hz,327.0,8.984498761756289
f_4_1,Hz,87.0,17.968997523512552
f_4_2,Hz,180.0,8.984498761756289
f_4_3,Hz,268.5,4.492249380878173
f_4_4,Hz,356.0,8.984498761756289
f_5_1,Hz,95.5,4.492249380878173
f_5_2,Hz,191.5,4.492249380878173
f_5_3,Hz,284.5,4.492249380878173
f_5_4,Hz,380.5,4.492249380878173
f_6_1,Hz,98.5,4.492249380878173
f_6_2,Hz,196.5,4.492249380878173
f_6_3,Hz,294.0,8.984498761756289
f_6_4,Hz,391.5,13.47674814263442
f_7_1,Hz,104.0,5.773502691896258e-07
f_7_2,Hz,208.5,4.492249380878173
f_7_3,Hz,313.5,4.492249380878173
f_7_4,Hz,418.5,4.492249380878173
f_8_1,Hz,110.5,4.492249380878173
f_8_2,Hz,221.0,5.773502691896258e-07
f_8_3,Hz,331.0,5.773502691896258e-07
f_8_4,Hz,442.5,4.492249380878173
f_9_1,Hz,114.5,4.492249380878173
f_9_2,Hz,229.0,8.984498761756289
f_9_3,Hz,344.0,8.984498761756289
f_9_4,Hz,458.0,8.984498761756289
f_10_1,Hz,115.5,4.492249380878173
f_10_2,Hz,232.5,4.492249380878173
f_10_3,Hz,350.0,5.773502691896258e-07
f_10_4,Hz,467.5,4.492249380878173
m_1,kg,0.5703333333333334,0.0013057085205897755
m_2,kg,0.5660000000000001,0.0005773502691896258
m_3,kg,0.9293333333333333,0.0013057085205897755
m_4,kg,0.5710000000000001,0.0005773502691896258
m_5,kg,0.5700000000000001,0.0005773502691896258
m_6,kg,0.5733333333333334,0.0013057085205897755
m_7,kg,0.5720000000000001,0.0005773502691896258
m_8,kg,0.5690000000000001,0.0005773502691896258
m_9,kg,0.5710000000000001,0.0005773502691896258
m_10,kg,0.5543333333333333,0.0013057085205897755
m_11,kg,0.5700000000000001,0.0005773502691896258
m_12,kg,0.5713333333333334,0.0024123637708610536
M_1,,2.21633333333333,0.00153998097631348
M_2,,2.78633333333333,0.00164465033996310
M_3,,3.35666666666667,0.00209994035188657
M_4,,3.93000000000000,0.00247277662198231
M_5,,4.49600000000000,0.00253928288214518
M_6,,5.06733333333333,0.00350249290056647
M_7,,5.63733333333333,0.00354975912589176
M_8,,6.20933333333333,0.00359640420214208
M_9,,6.77833333333333,0.00364245199261686
M_10,,7.33266666666667,0.00386940967839531
F_1,,4.66285642069322,0.00161995266577276
F_2,,5.22818610992379,0.00154298445921938
F_3,,5.73837084894310,0.00179497068020634
F_4,,6.20913037389295,0.00195340870628534
F_5,,6.64121675598681,0.00187543683553081
F_6,,7.05057018970806,0.00243664373448212
F_7,,7.43654758607783,0.00234135105181009
F_8,,7.80471396016536,0.00226021897811270
F_9,,8.15447423197842,0.00219097228288758
F_10,,8.48135956082514,0.00223778444203614
