nazwa,jednostka,wartosc,niepewnosc
r,mm,0.2750,0.0058
l,cm,81.94,0.11
m_1,g,570.3,1.3
m_2,g,566.00,0.58
m_3,g,929.3,1.3
m_4,g,571.00,0.58
m_5,g,570.00,0.58
m_6,g,573.3,1.3
m_7,g,572.00,0.58
m_8,g,569.00,0.58
m_9,g,571.00,0.58
m_10,g,554.3,1.3
m_11,g,570.00,0.58
m_12,g,571.3,2.4
f_1_1,Hz,67.7,3.1
f_1_2,Hz,137.10,0.90
f_1_3,Hz,204.5,4.5
f_1_4,Hz,271.5,4.5
f_2_1,Hz,76.0,9.0
f_2_2,Hz,150.5,4.5
f_2_3,Hz,221.5,4.5
f_2_4,Hz,298.0,9.0
f_3_1,Hz,81.00000000,0.00000058
f_3_2,Hz,162.5,4.5
f_3_3,Hz,243.0,9.0
f_3_4,Hz,327.0,9.0
f_4_1,Hz,87.0,18.0
f_4_2,Hz,180.0,9.0
f_4_3,Hz,268.5,4.5
f_4_4,Hz,356.0,9.0
f_5_1,Hz,95.5,4.5
f_5_2,Hz,191.5,4.5
f_5_3,Hz,284.5,4.5
f_5_4,Hz,380.5,4.5
f_6_1,Hz,98.5,4.5
f_6_2,Hz,196.5,4.5
f_6_3,Hz,294.0,9.0
f_6_4,Hz,392.0,13.0
f_7_1,Hz,104.00000000,0.00000058
f_7_2,Hz,208.5,4.5
f_7_3,Hz,313.5,4.5
f_7_4,Hz,418.5,4.5
f_8_1,Hz,110.5,4.5
f_8_2,Hz,221.00000000,0.00000058
f_8_3,Hz,331.00000000,0.00000058
f_8_4,Hz,442.5,4.5
f_9_1,Hz,114.5,4.5
f_9_2,Hz,229.0,9.0
f_9_3,Hz,344.0,9.0
f_9_4,Hz,458.0,9.0
f_10_1,Hz,115.5,4.5
f_10_2,Hz,232.5,4.5
f_10_3,Hz,350.00000000,0.00000058
f_10_4,Hz,467.5,4.5
m_1,kg,0.5703,0.0013
m_2,kg,0.56600,0.00058
m_3,kg,0.9293,0.0013
m_4,kg,0.57100,0.00058
m_5,kg,0.57000,0.00058
m_6,kg,0.5733,0.0013
m_7,kg,0.57200,0.00058
m_8,kg,0.56900,0.00058
m_9,kg,0.57100,0.00058
m_10,kg,0.5543,0.0013
m_11,kg,0.57000,0.00058
m_12,kg,0.5713,0.0024
M_1,,2.2163,0.0015
M_2,,2.7863,0.0016
M_3,,3.3567,0.0021
M_4,,3.9300,0.0025
M_5,,4.4960,0.0025
M_6,,5.0673,0.0035
M_7,,5.6373,0.0035
M_8,,6.2093,0.0036
M_9,,6.7783,0.0036
M_10,,7.3327,0.0039
F_1,,4.6629,0.0016
F_2,,5.2282,0.0015
F_3,,5.7384,0.0018
F_4,,6.2091,0.0020
F_5,,6.6412,0.0019
F_6,,7.0506,0.0024
F_7,,7.4365,0.0023
F_8,,7.8047,0.0023
F_9,,8.1545,0.0022
F_10,,8.4814,0.0022
