nazwa,jednostka,dokladnosc,powtorzenia,pomiary,,
s,cm ,0.002,2,3.5,3.5,3.5
b,cm ,0.002,2,6.1,6,6
g,cm ,0.002,2,1.54,1.52,1.52
h ,cm,0.1,1,140,,
x1,cm ,0.002,1,15.31,,
t11,s,0.01,1,32.25,30.91,31.15
t12,s,0.01,1,16.84,17.44,17.48
t13,s,0.01,1,13.19,13.35,13.22
x2,cm ,0.002,1,10.88,,
t21,s,0.01,1,25.44,24.79,24.98
t22,s,0.01,1,14.06,14.15,14.1
t23,s,0.01,1,10.63,10.8,10.77
x3,cm ,0.002,1,8.36,,
t31,s,0.01,1,21.19,22,21.61
t32,s,0.01,1,12.16,12.46,12.33
t33,s,0.01,1,9.1,9.35,9.2
x4,cm ,0.002,1,5,,
t41,s,0.01,1,18.44,19.85,18.19
t42,s,0.01,1,10.08,10.1,10.11
t43,s,0.01,1,7.44,7.54,7.55
x5,cm ,0.002,1,2,,
t51,s,0.01,1,16.66,15.97,16.44
t52,s,0.01,1,8.21,8.41,8.43
t53,s,0.01,1,6.03,6.47,6.5
x6,cm ,0.002,1,0,,
t61,s,0.01,1,14.81,14.34,14.79
t62,s,0.01,1,7.31,7.12,7.14
t63,s,0.01,1,5.44,5.46,5.48
m1,g,0.1,1,49.9,,
m2,g,0.1,1,100.2,,
m3,g,0.1,1,149.8,,
