nazwa,jednostka,wartosc,niepewnosc
s,cm ,1.75,0.0005773502691896257
sx2,cm ,3.5,0.0011547005383792514
b,cm ,3.016666666666667,0.05855925931782119
bx2,cm ,6.033333333333334,0.11711851863564238
g,cm ,0.7633333333333333,0.011725505280117966
gx2,cm ,1.5266666666666666,0.023451010560235932
h ,cm,140.0,0.1
x1,cm ,15.31,0.002
t11,s,31.436666666666667,1.449374400532354
t12,s,17.253333333333334,0.7272549071884158
t13,s,13.253333333333332,0.1726145471102421
x2,cm ,10.88,0.002
t21,s,25.070000000000004,0.677965234326627
t22,s,14.103333333333333,0.09165007320519991
t23,s,10.733333333333334,0.18414778330540962
x3,cm ,8.36,0.002
t31,s,21.599999999999998,0.8217318103858449
t32,s,12.316666666666668,0.3052228610315694
t33,s,9.216666666666667,0.25530677661430223
x4,cm ,5.0,0.002
t41,s,18.826666666666668,1.815484643139147
t42,s,10.096666666666666,0.03151844410053385
t43,s,7.510000000000001,0.12352102232233757
x5,cm ,2.0,0.002
t51,s,16.35666666666667,0.7149872837149439
t52,s,8.35,0.2468395669705764
t53,s,6.333333333333333,0.5337625723595196
x6,cm ,0.0,0.002
t61,s,14.646666666666667,0.5391316699684439
t62,s,7.19,0.21185546336017724
t63,s,5.460000000000001,0.04097783574351171
m1,g,49.9,0.1
m2,g,100.2,0.1
m3,g,149.8,0.1
s,m,0.0175,5.773502691896257e-06
b,m,0.03016666666666667,0.0005855925931782119
g,m,0.007633333333333333,0.00011725505280117966
h ,m,1.4000000000000001,0.001
m1,kg,0.0499,0.0001
m2,kg,0.10020000000000001,0.0001
m3,kg,0.14980000000000002,0.0001
l2_1,,234.975175210000,0.0619952481713328
l2_2,,118.786021210000,0.0440788321598118
l2_3,,70.2059652100000,0.0338871011555154
l2_4,,25.1893572100000,0.0202981264831203
l2_5,,4.07595721000000,0.00816511338276744
l2_6,,0.000357210000000000,7.64379825322228e-5
I_11,,0.0528975005185266,0.00488046614220384
I_12,,0.0319730601834000,0.00269838364053641
I_13,,0.0281866102266000,0.000736165151745256
I_21,,0.0336355873594016,0.00182157505386879
I_22,,0.0213537761248219,0.000279521900283084
I_23,,0.0184710169087500,0.000635748904449141
I_31,,0.0249648726950000,0.00190146042024349
I_32,,0.0162788334236719,0.000808660311510814
I_33,,0.0136077071861719,0.000756594346193574
I_41,,0.0189620208582000,0.00366026517080661
I_42,,0.0109293207661969,7.01036504453640e-5
I_43,,0.00901935236057188,0.000298391821495200
I_51,,0.0143091440379891,0.00125271242652607
I_52,,0.00746528212992188,0.000443308333745122
I_53,,0.00640121146875000,0.00108672556417413
I_61,,0.0114706229889562,0.000845959335306745
I_62,,0.00552723738964688,0.000327622510141689
I_63,,0.00474576364508750,7.21424968508926e-5
