nazwa,jednostka,wartosc,niepewnosc
s,cm ,1.75000,0.00058
sx2,cm ,3.5000,0.0012
b,cm ,3.017,0.059
bx2,cm ,6.03,0.12
g,cm ,0.763,0.012
gx2,cm ,1.527,0.023
h ,cm,140.00,0.10
x1,cm ,15.3100,0.0020
t11,s,31.4,1.4
t12,s,17.25,0.73
t13,s,13.25,0.17
x2,cm ,10.8800,0.0020
t21,s,25.07,0.68
t22,s,14.103,0.092
t23,s,10.73,0.18
x3,cm ,8.3600,0.0020
t31,s,21.60,0.82
t32,s,12.32,0.31
t33,s,9.22,0.26
x4,cm ,5.0000,0.0020
t41,s,18.8,1.8
t42,s,10.097,0.032
t43,s,7.51,0.12
x5,cm ,2.0000,0.0020
t51,s,16.36,0.71
t52,s,8.35,0.25
t53,s,6.33,0.53
x6,cm ,0.0000,0.0020
t61,s,14.65,0.54
t62,s,7.19,0.21
t63,s,5.460,0.041
m1,g,49.90,0.10
m2,g,100.20,0.10
m3,g,149.80,0.10
s,m,0.0175000,0.0000058
b,m,0.03017,0.00059
g,m,0.00763,0.00012
h ,m,1.4000,0.0010
m1,kg,0.04990,0.00010
m2,kg,0.10020,0.00010
m3,kg,0.14980,0.00010
l2_1,,234.975,0.062
l2_2,,118.786,0.044
l2_3,,70.206,0.034
l2_4,,25.189,0.020
l2_5,,4.0760,0.0082
l2_6,,0.000357,0.000076
I_11,,0.0529,0.0049
I_12,,0.0320,0.0027
I_13,,0.02819,0.00074
I_21,,0.0336,0.0018
I_22,,0.02135,0.00028
I_23,,0.01847,0.00064
I_31,,0.0250,0.0019
I_32,,0.01628,0.00081
I_33,,0.01361,0.00076
I_41,,0.0190,0.0037
I_42,,0.010929,0.000070
I_43,,0.00902,0.00030
I_51,,0.0143,0.0013
I_52,,0.00747,0.00044
I_53,,0.0064,0.0011
I_61,,0.01147,0.00085
I_62,,0.00553,0.00033
I_63,,0.004746,0.000072
