nazwa,jednostka,wartosc,niepewnosc
Kat0_1,st,357.65999999999997,0.17802264185584657
KatBr_1,st,300.84000000000003,0.23738539174374695
Kat0_2,st,359.04,0.7896368645227625
KatBr_2,st,298.72,0.39211973790326415
Kat0_3,st,358.8,0.635652802505681
KatBr_3,st,302.5,0.7872911871304946
Kat0_4,st,356.71999999999997,0.2713183710207138
KatBr_4,st,300.48,1.3598222710535894
k¹tb1,,56.8199999999999,0.296721898798635
k¹tb2,,60.3200000000000,0.881637264790154
k¹tb3,,56.3000000000000,1.01187049500747
k¹tb4,,56.2400000000000,1.38662549641447
k¹tb1,rad,0.991696080983177,0.00517877409680558
k¹tb2,rad,1.05278260480298,0.0153874730788653
k¹tb3,rad,0.982620368872808,0.0176604717416653
k¹tb4,rad,0.981573171321610,0.0242011804045333
wsp1,,1.52932503019860,0.0172910724600473
wsp2,,1.75460948004873,0.0627601852007952
wsp3,,1.49943674474131,0.0573666967025729
wsp4,,1.49604045352329,0.0783667386452315
